[2025-05-13 09:07:12] State: uit, Confidence: 99.61%
[2025-05-14 12:23:40] State: uit, Confidence: 99.61%
[2025-05-14 12:23:43] State: uit, Confidence: 99.61%
[2025-05-14 12:23:45] State: uit, Confidence: 99.61%
[2025-05-14 12:24:48] State: uit, Confidence: 99.61%
[2025-05-14 12:24:51] State: uit, Confidence: 99.61%
[2025-05-14 12:24:53] State: uit, Confidence: 99.61%
[2025-05-14 12:24:56] State: uit, Confidence: 99.61%
[2025-05-14 12:24:58] State: uit, Confidence: 99.61%
[2025-05-14 12:25:01] State: uit, Confidence: 99.61%
[2025-05-14 12:25:03] State: uit, Confidence: 99.61%
[2025-05-14 12:25:06] State: uit, Confidence: 99.61%
[2025-05-14 12:25:08] State: uit, Confidence: 99.61%
[2025-05-14 12:25:11] State: uit, Confidence: 99.61%
[2025-05-14 12:25:13] State: uit, Confidence: 99.61%
[2025-05-14 12:25:16] State: uit, Confidence: 99.61%
[2025-05-14 12:25:18] State: uit, Confidence: 99.61%
[2025-05-14 12:25:21] State: uit, Confidence: 99.61%
[2025-05-14 12:25:23] State: uit, Confidence: 99.61%
[2025-05-14 12:26:42] State: uit, Confidence: 99.61%
[2025-05-14 12:26:44] State: uit, Confidence: 99.61%
[2025-05-14 12:26:47] State: uit, Confidence: 99.61%
[2025-05-14 12:26:49] State: uit, Confidence: 99.61%
[2025-05-14 12:26:52] State: uit, Confidence: 99.61%
[2025-05-14 12:26:54] State: uit, Confidence: 99.61%
[2025-05-14 12:26:57] State: uit, Confidence: 99.61%
[2025-05-14 12:26:59] State: uit, Confidence: 86.72%
[2025-05-14 12:27:02] State: uit, Confidence: 99.61%
[2025-05-14 12:27:04] State: uit, Confidence: 99.61%
[2025-05-14 12:27:07] State: uit, Confidence: 99.61%
[2025-05-14 12:27:09] State: uit, Confidence: 99.61%
[2025-05-14 12:27:12] State: uit, Confidence: 99.61%
[2025-05-14 12:27:14] State: uit, Confidence: 99.61%
[2025-05-14 12:27:17] State: uit, Confidence: 99.61%
[2025-05-14 12:27:19] State: uit, Confidence: 99.61%
[2025-05-14 12:29:05] State: uit, Confidence: 99.61%
[2025-05-14 12:29:08] State: uit, Confidence: 99.61%
[2025-05-14 12:29:10] State: uit, Confidence: 99.61%
[2025-05-14 12:29:13] State: uit, Confidence: 99.61%
[2025-05-14 12:29:15] State: uit, Confidence: 59.38%
[2025-05-14 12:29:18] State: uit, Confidence: 99.61%
[2025-05-14 12:29:20] State: uit, Confidence: 99.61%
[2025-05-14 12:29:23] State: uit, Confidence: 99.61%
[2025-05-14 12:29:25] State: normaal, Confidence: 63.67%
[2025-05-14 12:29:28] State: uit, Confidence: 99.61%
[2025-05-14 12:30:01] State: uit, Confidence: 99.61%
[2025-05-14 12:30:03] State: uit, Confidence: 99.61%
[2025-05-14 12:30:06] State: uit, Confidence: 99.61%
[2025-05-14 12:30:08] State: uit, Confidence: 99.61%
[2025-05-14 12:30:11] State: uit, Confidence: 99.61%
[2025-05-14 12:30:13] State: uit, Confidence: 99.61%
[2025-05-14 12:30:16] State: uit, Confidence: 98.44%
[2025-05-14 12:30:18] State: normaal, Confidence: 99.61%
[2025-05-14 12:30:21] State: uit, Confidence: 98.44%
[2025-05-14 12:32:50] State: uit, Confidence: 99.61%
[2025-05-14 12:32:52] State: uit, Confidence: 99.61%
[2025-05-14 12:32:55] State: uit, Confidence: 99.61%
[2025-05-14 12:32:57] State: uit, Confidence: 99.61%
[2025-05-14 12:33:00] State: uit, Confidence: 99.61%
[2025-05-14 12:33:02] State: uit, Confidence: 99.61%
[2025-05-14 12:33:05] State: uit, Confidence: 99.61%
[2025-05-14 12:33:07] State: uit, Confidence: 86.72%
[2025-05-14 12:33:10] State: uit, Confidence: 99.61%
[2025-05-14 12:33:12] State: uit, Confidence: 99.61%
[2025-05-14 12:33:15] State: uit, Confidence: 99.61%
[2025-05-14 12:33:17] State: abnormaal, Confidence: 71.48%
[2025-05-14 12:33:20] State: normaal, Confidence: 99.61%
[2025-05-14 12:33:22] State: normaal, Confidence: 99.61%
[2025-05-14 12:33:25] State: abnormaal, Confidence: 99.61%
[2025-05-14 12:33:27] State: abnormaal, Confidence: 86.72%
[2025-05-14 12:33:30] State: normaal, Confidence: 99.61%
[2025-05-14 12:33:32] State: uit, Confidence: 97.66%
[2025-05-14 12:33:35] State: uit, Confidence: 99.61%
[2025-05-14 12:35:13] State: uit, Confidence: 99.61%
[2025-05-14 12:35:16] State: uit, Confidence: 99.61%
[2025-05-14 12:35:18] State: uit, Confidence: 99.61%
[2025-05-14 12:35:21] State: uit, Confidence: 99.61%
[2025-05-14 12:35:23] State: uit, Confidence: 78.91%
[2025-05-14 12:35:26] State: uit, Confidence: 99.61%
[2025-05-14 12:35:28] State: uit, Confidence: 99.61%
[2025-05-14 12:35:31] State: uit, Confidence: 99.61%
[2025-05-14 12:35:33] State: normaal, Confidence: 99.61%
[2025-05-14 12:35:36] State: uit, Confidence: 48.05%
[2025-05-14 12:35:38] State: normaal, Confidence: 92.97%
[2025-05-14 12:35:41] State: abnormaal, Confidence: 99.61%
[2025-05-14 12:35:43] State: normaal, Confidence: 99.22%
[2025-05-14 12:35:46] State: uit, Confidence: 99.22%
[2025-05-22 18:10:25] State: uit, Confidence: 99.61%
[2025-05-22 18:10:28] State: uit, Confidence: 99.61%
[2025-05-22 18:10:30] State: uit, Confidence: 99.61%
[2025-05-22 21:44:26] State: uit, Confidence: 99.61%
[2025-05-22 21:44:29] State: uit, Confidence: 99.61%
[2025-05-22 21:44:32] State: uit, Confidence: 99.61%
[2025-05-22 21:44:34] State: uit, Confidence: 99.61%
[2025-05-22 21:44:37] State: uit, Confidence: 99.61%
[2025-05-22 21:44:39] State: uit, Confidence: 99.61%
[2025-05-22 21:44:42] State: uit, Confidence: 99.61%
[2025-05-22 21:44:44] State: uit, Confidence: 99.61%
[2025-05-22 21:44:47] State: uit, Confidence: 99.61%
[2025-05-22 21:44:49] State: uit, Confidence: 99.61%
[2025-05-22 21:44:52] State: uit, Confidence: 99.61%
[2025-05-22 21:44:54] State: uit, Confidence: 99.61%
[2025-05-22 21:44:57] State: uit, Confidence: 99.61%
[2025-05-22 22:22:54] State: uit, Confidence: 99.61%
[2025-05-22 22:22:57] State: uit, Confidence: 99.61%
[2025-05-22 22:22:59] State: uit, Confidence: 99.61%
[2025-05-22 22:23:02] State: uit, Confidence: 99.61%
[2025-05-22 22:23:04] State: uit, Confidence: 99.61%
[2025-05-22 22:23:07] State: uit, Confidence: 99.61%
[2025-05-22 22:23:09] State: uit, Confidence: 99.61%
[2025-05-22 22:23:12] State: uit, Confidence: 99.61%
[2025-05-22 22:23:14] State: uit, Confidence: 99.61%
[2025-05-22 22:23:17] State: uit, Confidence: 99.61%
[2025-05-22 22:23:20] State: uit, Confidence: 99.61%
[2025-05-22 22:23:22] State: uit, Confidence: 99.61%
[2025-05-22 22:23:25] State: uit, Confidence: 99.61%
[2025-05-22 22:23:27] State: uit, Confidence: 99.61%
[2025-05-22 22:23:30] State: uit, Confidence: 99.61%
[2025-05-22 22:23:32] State: uit, Confidence: 99.61%
[2025-05-22 22:23:35] State: uit, Confidence: 99.61%
[2025-05-22 22:23:37] State: uit, Confidence: 99.61%
[2025-05-22 22:23:40] State: uit, Confidence: 99.61%
[2025-05-22 22:23:42] State: uit, Confidence: 99.61%
[2025-05-22 22:23:45] State: uit, Confidence: 99.61%
[2025-05-22 22:23:47] State: uit, Confidence: 99.61%
[2025-05-22 22:23:50] State: uit, Confidence: 99.61%
[2025-05-22 22:23:52] State: uit, Confidence: 99.61%
[2025-05-22 22:23:55] State: uit, Confidence: 99.61%
[2025-05-22 22:23:57] State: uit, Confidence: 99.61%
[2025-05-22 22:24:00] State: uit, Confidence: 99.61%
[2025-05-22 22:24:02] State: uit, Confidence: 99.61%
[2025-05-22 22:24:05] State: uit, Confidence: 99.61%
[2025-05-22 22:24:07] State: uit, Confidence: 99.61%
[2025-05-22 22:24:10] State: uit, Confidence: 99.61%
[2025-05-22 22:24:12] State: uit, Confidence: 99.61%
[2025-05-22 22:24:15] State: uit, Confidence: 99.61%
[2025-05-22 22:24:18] State: uit, Confidence: 99.61%
[2025-05-22 22:24:20] State: uit, Confidence: 99.61%
[2025-05-22 22:24:23] State: uit, Confidence: 99.61%
[2025-05-22 22:24:25] State: uit, Confidence: 99.61%
[2025-05-22 22:24:28] State: uit, Confidence: 99.61%
[2025-05-22 22:24:30] State: uit, Confidence: 99.61%
[2025-05-22 22:24:33] State: uit, Confidence: 99.61%
[2025-05-22 22:24:35] State: uit, Confidence: 99.61%
[2025-05-22 22:24:38] State: uit, Confidence: 99.61%
[2025-05-22 22:24:40] State: uit, Confidence: 99.61%
[2025-05-22 22:24:43] State: uit, Confidence: 99.61%
[2025-05-22 22:24:45] State: uit, Confidence: 99.61%
[2025-05-22 22:24:48] State: uit, Confidence: 99.61%
[2025-05-22 22:24:50] State: uit, Confidence: 99.61%
[2025-05-22 22:24:53] State: uit, Confidence: 99.61%
[2025-05-22 22:24:55] State: uit, Confidence: 99.61%
[2025-05-22 22:24:58] State: uit, Confidence: 99.61%
[2025-05-22 22:25:00] State: uit, Confidence: 99.61%
[2025-05-26 23:20:30] State: uit, Confidence: 99.61%
[2025-05-26 23:20:32] State: uit, Confidence: 99.61%
[2025-05-26 23:20:35] State: uit, Confidence: 99.61%
[2025-05-26 23:20:38] State: uit, Confidence: 99.61%
[2025-05-26 23:20:40] State: uit, Confidence: 99.61%
[2025-05-26 23:20:43] State: uit, Confidence: 99.61%
[2025-05-26 23:20:45] State: uit, Confidence: 99.61%
[2025-05-26 23:20:48] State: uit, Confidence: 99.61%
[2025-05-26 23:20:50] State: uit, Confidence: 99.61%
[2025-05-26 23:20:53] State: uit, Confidence: 99.61%
[2025-05-26 23:20:55] State: uit, Confidence: 99.61%
[2025-05-26 23:20:58] State: uit, Confidence: 99.61%
[2025-05-26 23:21:00] State: uit, Confidence: 99.61%
[2025-05-26 23:21:03] State: uit, Confidence: 99.61%
[2025-05-26 23:21:05] State: uit, Confidence: 99.61%
[2025-05-26 23:21:08] State: uit, Confidence: 99.61%
[2025-05-26 23:21:10] State: uit, Confidence: 99.61%
[2025-05-26 23:21:13] State: uit, Confidence: 99.61%
[2025-05-26 23:21:15] State: uit, Confidence: 99.61%
[2025-05-26 23:21:18] State: uit, Confidence: 99.61%
[2025-05-26 23:21:20] State: uit, Confidence: 99.61%
[2025-05-26 23:21:23] State: uit, Confidence: 99.61%
[2025-05-26 23:21:25] State: uit, Confidence: 99.61%
[2025-05-26 23:21:28] State: uit, Confidence: 99.61%
[2025-05-26 23:21:30] State: uit, Confidence: 99.61%
[2025-05-26 23:21:33] State: uit, Confidence: 99.61%
[2025-05-26 23:21:36] State: uit, Confidence: 99.61%
[2025-05-26 23:21:38] State: uit, Confidence: 99.61%
[2025-05-26 23:21:41] State: uit, Confidence: 99.61%
[2025-05-26 23:21:43] State: uit, Confidence: 99.61%
[2025-05-26 23:21:46] State: uit, Confidence: 99.61%
[2025-05-26 23:21:48] State: uit, Confidence: 99.61%
[2025-05-26 23:21:51] State: uit, Confidence: 99.61%
[2025-05-26 23:21:53] State: uit, Confidence: 99.61%
[2025-06-04 19:42:23] State: uit, Confidence: 99.61%
[2025-06-04 19:42:26] State: uit, Confidence: 99.61%
[2025-06-04 19:42:28] State: uit, Confidence: 99.61%
[2025-06-04 19:42:31] State: uit, Confidence: 99.61%
[2025-06-04 19:42:33] State: uit, Confidence: 99.61%
[2025-06-04 19:42:36] State: uit, Confidence: 99.61%
[2025-06-04 19:42:39] State: uit, Confidence: 99.61%
[2025-06-04 19:42:41] State: uit, Confidence: 99.61%
[2025-06-04 19:42:44] State: uit, Confidence: 99.61%
[2025-06-04 19:42:46] State: uit, Confidence: 99.61%
[2025-06-04 19:42:49] State: uit, Confidence: 99.61%
[2025-06-04 19:42:51] State: uit, Confidence: 99.61%
[2025-06-04 19:42:54] State: uit, Confidence: 99.61%
[2025-06-04 22:46:18] State: uit, Confidence: 99.61%
[2025-06-04 22:46:20] State: uit, Confidence: 99.61%
[2025-06-04 22:46:23] State: uit, Confidence: 99.61%
[2025-06-04 22:46:25] State: uit, Confidence: 99.61%
[2025-06-04 22:46:28] State: uit, Confidence: 99.61%
[2025-06-04 22:46:31] State: uit, Confidence: 99.61%
[2025-06-04 22:46:33] State: uit, Confidence: 99.61%
[2025-06-04 22:46:36] State: uit, Confidence: 99.61%
[2025-06-04 22:46:38] State: uit, Confidence: 99.61%
[2025-06-04 22:46:41] State: uit, Confidence: 99.61%
[2025-06-04 22:46:43] State: uit, Confidence: 99.61%
[2025-06-04 22:46:46] State: uit, Confidence: 99.61%
[2025-06-04 22:46:48] State: uit, Confidence: 99.61%
[2025-06-04 22:46:51] State: uit, Confidence: 99.61%
[2025-06-04 22:46:53] State: uit, Confidence: 99.61%
[2025-06-04 22:46:56] State: uit, Confidence: 99.61%
[2025-06-04 22:46:58] State: uit, Confidence: 99.61%
[2025-06-04 22:47:01] State: uit, Confidence: 99.61%
[2025-06-04 22:47:03] State: uit, Confidence: 99.61%
[2025-06-04 22:47:06] State: uit, Confidence: 99.61%
[2025-06-04 22:47:08] State: uit, Confidence: 99.61%
[2025-06-04 22:47:11] State: uit, Confidence: 99.61%
[2025-06-04 22:47:13] State: uit, Confidence: 99.61%
[2025-06-04 22:47:16] State: uit, Confidence: 99.61%
[2025-06-04 22:47:18] State: uit, Confidence: 99.61%
[2025-06-04 22:47:21] State: uit, Confidence: 99.61%
[2025-06-04 22:47:23] State: uit, Confidence: 99.61%
[2025-06-04 22:47:26] State: uit, Confidence: 99.61%
[2025-06-04 22:47:29] State: uit, Confidence: 99.61%
[2025-06-04 22:47:31] State: uit, Confidence: 99.61%
[2025-06-04 22:47:34] State: uit, Confidence: 99.61%
[2025-06-04 22:47:36] State: uit, Confidence: 99.61%
[2025-06-04 22:47:39] State: uit, Confidence: 99.61%
[2025-06-04 22:47:41] State: uit, Confidence: 99.61%
[2025-06-04 22:47:44] State: uit, Confidence: 99.61%
[2025-06-04 22:47:46] State: uit, Confidence: 99.61%
[2025-06-04 22:47:49] State: uit, Confidence: 99.61%
[2025-06-04 22:47:51] State: uit, Confidence: 99.61%
[2025-06-04 22:47:54] State: uit, Confidence: 99.61%
[2025-06-04 22:47:56] State: uit, Confidence: 99.61%
[2025-06-04 22:47:59] State: uit, Confidence: 99.61%
[2025-06-04 22:48:01] State: uit, Confidence: 99.61%
[2025-06-04 22:48:04] State: uit, Confidence: 99.61%
[2025-06-04 22:48:06] State: uit, Confidence: 99.61%
[2025-06-04 22:48:09] State: uit, Confidence: 99.61%
[2025-06-04 22:48:11] State: uit, Confidence: 99.61%
[2025-06-04 22:48:14] State: uit, Confidence: 99.61%
[2025-06-04 22:48:16] State: uit, Confidence: 99.61%
[2025-06-04 22:48:19] State: uit, Confidence: 99.61%
[2025-06-04 22:48:21] State: uit, Confidence: 99.61%
[2025-06-04 22:48:24] State: uit, Confidence: 99.61%
[2025-06-04 22:48:27] State: uit, Confidence: 99.61%
[2025-06-04 22:48:29] State: uit, Confidence: 99.61%
[2025-06-04 22:48:32] State: uit, Confidence: 99.61%
[2025-06-04 22:48:34] State: uit, Confidence: 99.61%
[2025-06-04 22:48:37] State: uit, Confidence: 99.61%
[2025-06-04 22:48:39] State: uit, Confidence: 99.61%
[2025-06-04 22:48:42] State: uit, Confidence: 99.61%
[2025-06-04 22:48:44] State: uit, Confidence: 99.61%
[2025-06-04 22:48:47] State: uit, Confidence: 99.61%
[2025-06-04 22:48:49] State: uit, Confidence: 99.61%
[2025-06-04 22:48:52] State: uit, Confidence: 99.61%
[2025-06-04 22:48:54] State: uit, Confidence: 99.61%
[2025-06-04 22:48:57] State: uit, Confidence: 99.61%
[2025-06-04 22:48:59] State: uit, Confidence: 99.61%
[2025-06-04 22:49:02] State: uit, Confidence: 99.61%
[2025-06-04 22:49:04] State: uit, Confidence: 99.61%
[2025-06-04 22:49:07] State: uit, Confidence: 99.61%
[2025-06-04 22:49:09] State: uit, Confidence: 99.61%
[2025-06-04 22:49:12] State: uit, Confidence: 99.61%
[2025-06-04 22:49:14] State: uit, Confidence: 99.61%
[2025-06-04 22:49:17] State: uit, Confidence: 99.61%
[2025-06-04 22:49:19] State: uit, Confidence: 99.61%
[2025-06-04 22:49:22] State: uit, Confidence: 99.61%
[2025-06-04 22:49:25] State: uit, Confidence: 99.61%
[2025-06-04 22:49:27] State: uit, Confidence: 99.61%
[2025-06-04 22:49:30] State: uit, Confidence: 99.61%
[2025-06-04 22:49:32] State: uit, Confidence: 99.61%
[2025-06-04 22:49:35] State: uit, Confidence: 99.61%
[2025-06-04 22:49:37] State: uit, Confidence: 99.61%
[2025-06-04 22:49:40] State: uit, Confidence: 99.61%
[2025-06-04 22:49:42] State: uit, Confidence: 99.61%
[2025-06-04 22:49:45] State: uit, Confidence: 99.61%
[2025-06-04 22:49:47] State: uit, Confidence: 99.61%
[2025-06-04 22:49:50] State: uit, Confidence: 99.61%
[2025-06-04 22:49:52] State: uit, Confidence: 99.61%
[2025-06-04 22:49:55] State: uit, Confidence: 99.61%
[2025-06-04 22:49:57] State: uit, Confidence: 99.61%
[2025-06-04 22:50:00] State: uit, Confidence: 99.61%
[2025-06-04 22:50:02] State: uit, Confidence: 99.61%
[2025-06-04 22:50:05] State: uit, Confidence: 99.61%
[2025-06-04 22:50:07] State: uit, Confidence: 99.61%
[2025-06-04 22:50:10] State: uit, Confidence: 99.61%
[2025-06-04 22:50:12] State: uit, Confidence: 99.61%
[2025-06-04 22:50:15] State: uit, Confidence: 99.61%
[2025-06-04 22:50:17] State: uit, Confidence: 99.61%
[2025-06-04 22:50:20] State: uit, Confidence: 99.61%
[2025-06-04 22:50:23] State: uit, Confidence: 99.61%
[2025-06-04 22:50:25] State: uit, Confidence: 99.61%
[2025-06-04 22:50:28] State: uit, Confidence: 99.61%
[2025-06-04 22:50:30] State: uit, Confidence: 99.61%
[2025-06-04 22:50:33] State: uit, Confidence: 99.61%
[2025-06-04 22:50:35] State: uit, Confidence: 99.61%
[2025-06-04 22:50:38] State: uit, Confidence: 99.61%
[2025-06-04 22:50:40] State: uit, Confidence: 99.61%
[2025-06-04 22:50:43] State: uit, Confidence: 99.61%
[2025-06-04 22:50:45] State: uit, Confidence: 99.61%
[2025-06-04 22:50:48] State: uit, Confidence: 99.61%
[2025-06-04 22:50:50] State: uit, Confidence: 99.61%
[2025-06-04 22:50:53] State: uit, Confidence: 99.61%
[2025-06-04 22:50:55] State: uit, Confidence: 99.61%
[2025-06-04 22:50:58] State: uit, Confidence: 99.61%
[2025-06-04 22:51:00] State: uit, Confidence: 99.61%
[2025-06-04 22:51:03] State: uit, Confidence: 99.61%
[2025-06-04 22:51:05] State: uit, Confidence: 99.61%
[2025-06-04 22:51:08] State: uit, Confidence: 99.61%
[2025-06-04 22:51:10] State: uit, Confidence: 99.61%
[2025-06-04 22:51:13] State: uit, Confidence: 99.61%
[2025-06-04 22:51:16] State: uit, Confidence: 99.61%
[2025-06-04 22:51:18] State: uit, Confidence: 99.61%
[2025-06-04 22:51:21] State: uit, Confidence: 99.61%
[2025-06-04 22:51:23] State: uit, Confidence: 99.61%
[2025-06-04 22:51:26] State: uit, Confidence: 99.61%
[2025-06-04 22:51:28] State: uit, Confidence: 99.61%
[2025-06-04 22:51:31] State: uit, Confidence: 99.61%
[2025-06-04 22:51:33] State: uit, Confidence: 99.61%
[2025-06-04 22:51:36] State: uit, Confidence: 99.61%
[2025-06-04 22:51:38] State: uit, Confidence: 99.61%
[2025-06-04 22:51:41] State: uit, Confidence: 99.61%
[2025-06-04 22:51:43] State: uit, Confidence: 99.61%
[2025-06-04 22:51:46] State: uit, Confidence: 99.61%
[2025-06-04 22:51:48] State: uit, Confidence: 99.61%
[2025-06-04 22:51:51] State: uit, Confidence: 99.61%
[2025-06-04 22:51:53] State: uit, Confidence: 99.61%
[2025-06-04 22:51:56] State: uit, Confidence: 99.61%
[2025-06-04 22:51:58] State: uit, Confidence: 99.61%
[2025-06-04 22:52:01] State: uit, Confidence: 99.61%
[2025-06-04 22:52:03] State: uit, Confidence: 99.61%
[2025-06-04 22:52:06] State: uit, Confidence: 99.61%
[2025-06-04 22:52:08] State: uit, Confidence: 99.61%
[2025-06-04 22:52:11] State: uit, Confidence: 99.61%
[2025-06-04 22:52:14] State: uit, Confidence: 99.61%
[2025-06-04 22:52:16] State: uit, Confidence: 99.61%
[2025-06-04 22:52:19] State: uit, Confidence: 99.61%
[2025-06-04 22:52:21] State: uit, Confidence: 99.61%
[2025-06-04 22:52:24] State: uit, Confidence: 99.61%
[2025-06-04 22:52:26] State: uit, Confidence: 99.61%
[2025-06-04 22:52:29] State: uit, Confidence: 99.61%
[2025-06-04 22:52:31] State: uit, Confidence: 99.61%
[2025-06-04 22:52:34] State: uit, Confidence: 99.61%
[2025-06-04 22:52:36] State: uit, Confidence: 99.61%
[2025-06-04 22:52:39] State: uit, Confidence: 99.61%
[2025-06-04 22:52:41] State: uit, Confidence: 99.61%
[2025-06-04 22:52:44] State: uit, Confidence: 99.61%
[2025-06-04 22:52:46] State: uit, Confidence: 99.61%
[2025-06-04 22:52:49] State: uit, Confidence: 99.61%
[2025-06-04 22:52:51] State: uit, Confidence: 99.61%
[2025-06-04 22:52:54] State: uit, Confidence: 99.61%
[2025-06-04 22:52:56] State: uit, Confidence: 99.61%
[2025-06-04 22:52:59] State: uit, Confidence: 99.61%
[2025-06-04 22:53:01] State: uit, Confidence: 99.61%
[2025-06-04 22:53:04] State: uit, Confidence: 99.61%
[2025-06-04 22:53:06] State: uit, Confidence: 99.61%
[2025-06-04 22:53:09] State: uit, Confidence: 99.61%
[2025-06-04 22:53:12] State: uit, Confidence: 99.61%
[2025-06-04 22:53:14] State: uit, Confidence: 99.61%
[2025-06-04 22:53:17] State: uit, Confidence: 99.61%
[2025-06-04 22:53:19] State: uit, Confidence: 99.61%
[2025-06-04 22:53:22] State: uit, Confidence: 99.61%
[2025-06-04 22:53:24] State: uit, Confidence: 99.61%
[2025-06-04 22:53:27] State: uit, Confidence: 99.61%
[2025-06-04 22:53:29] State: uit, Confidence: 99.61%
[2025-06-04 22:53:32] State: uit, Confidence: 99.61%
[2025-06-04 22:53:34] State: uit, Confidence: 99.61%
[2025-06-04 22:53:37] State: uit, Confidence: 99.61%
[2025-06-04 22:53:39] State: uit, Confidence: 99.61%
[2025-06-04 22:53:42] State: uit, Confidence: 99.61%
[2025-06-04 22:53:44] State: uit, Confidence: 99.61%
[2025-06-04 22:53:47] State: uit, Confidence: 99.61%
[2025-06-04 22:53:49] State: uit, Confidence: 99.61%
[2025-06-04 22:53:52] State: uit, Confidence: 99.61%
[2025-06-04 22:53:54] State: uit, Confidence: 99.61%
[2025-06-04 22:53:57] State: uit, Confidence: 99.61%
[2025-06-04 22:53:59] State: uit, Confidence: 99.61%
[2025-06-04 22:54:02] State: uit, Confidence: 99.61%
[2025-06-04 22:54:04] State: uit, Confidence: 99.61%
[2025-06-04 22:54:07] State: uit, Confidence: 99.61%
[2025-06-04 22:54:10] State: uit, Confidence: 99.61%
[2025-06-04 22:54:12] State: uit, Confidence: 99.61%
[2025-06-04 22:54:15] State: uit, Confidence: 99.61%
[2025-06-04 22:54:17] State: uit, Confidence: 99.61%
[2025-06-04 22:54:20] State: uit, Confidence: 99.61%
[2025-06-04 22:54:22] State: uit, Confidence: 99.61%
[2025-06-04 22:54:25] State: uit, Confidence: 99.61%
[2025-06-04 22:54:27] State: uit, Confidence: 99.61%
[2025-06-04 22:54:30] State: uit, Confidence: 99.61%
[2025-06-04 22:54:32] State: uit, Confidence: 99.61%
[2025-06-04 22:54:35] State: uit, Confidence: 99.61%
[2025-06-04 22:54:37] State: uit, Confidence: 99.61%
[2025-06-04 22:54:40] State: uit, Confidence: 99.61%
[2025-06-04 22:54:42] State: uit, Confidence: 99.61%
[2025-06-04 22:54:45] State: uit, Confidence: 99.61%
[2025-06-04 22:54:47] State: uit, Confidence: 99.61%
[2025-06-04 22:54:50] State: uit, Confidence: 99.61%
[2025-06-04 22:54:52] State: uit, Confidence: 99.61%
[2025-06-04 22:54:55] State: uit, Confidence: 99.61%
[2025-06-04 22:54:57] State: uit, Confidence: 99.61%
[2025-06-04 22:55:00] State: uit, Confidence: 99.61%
[2025-06-04 22:55:02] State: uit, Confidence: 99.61%
[2025-06-04 22:55:05] State: uit, Confidence: 99.61%
[2025-06-04 22:55:08] State: uit, Confidence: 99.61%
[2025-06-04 22:55:10] State: uit, Confidence: 99.61%
[2025-06-04 22:55:13] State: uit, Confidence: 99.61%
[2025-06-04 22:55:15] State: uit, Confidence: 99.61%
[2025-06-04 22:55:18] State: uit, Confidence: 99.61%
[2025-06-04 22:55:20] State: uit, Confidence: 99.61%
[2025-06-04 22:55:23] State: uit, Confidence: 99.61%
[2025-06-04 22:55:25] State: uit, Confidence: 99.61%
[2025-06-04 22:55:28] State: uit, Confidence: 99.61%
[2025-06-04 22:55:30] State: uit, Confidence: 99.61%
[2025-06-04 22:55:33] State: uit, Confidence: 99.61%
[2025-06-04 22:55:35] State: uit, Confidence: 99.61%
[2025-06-04 22:55:38] State: uit, Confidence: 99.61%
[2025-06-04 22:55:40] State: uit, Confidence: 99.61%
[2025-06-04 22:55:43] State: uit, Confidence: 99.61%
[2025-06-04 22:55:45] State: uit, Confidence: 99.61%
[2025-06-04 22:55:48] State: uit, Confidence: 99.61%
[2025-06-04 22:55:50] State: uit, Confidence: 99.61%
